id,created_at,Title,Collection_Id,Description,Views,Img
62,2024-08-07 21:50:55.915328+00,Lectores medianas,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
63,2024-08-07 21:50:55.915328+00,Lectores medianos,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
64,2024-08-07 21:50:55.915328+00,Libros ilustrados,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
65,2024-08-07 21:50:55.915328+00,Literatura,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
66,2024-08-07 21:50:55.915328+00,Literatura clásica,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
67,2024-08-07 21:50:55.915328+00,Mascotas,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
68,2024-08-07 21:50:55.915328+00,Matemáticas,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
69,2024-08-07 21:50:55.915328+00,Medicina,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
70,2024-08-07 21:50:55.915328+00,Misterio,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
71,2024-08-07 21:50:55.915328+00,Mitología,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
72,2024-08-07 21:50:55.915328+00,Mitos y leyendas,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
73,2024-08-07 21:50:55.915328+00,Mujeres,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
74,2024-08-07 21:50:55.915328+00,Musica,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
75,2024-08-07 21:50:55.915328+00,Naturaleza,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
76,2024-08-07 21:50:55.915328+00,Novela,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
77,2024-08-07 21:50:55.915328+00,Novela gráfica,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
78,2024-08-07 21:50:55.915328+00,Pequeños lectores,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
79,2024-08-07 21:50:55.915328+00,Planetas,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
1,2024-08-07 21:50:55.915328+00,Adicciones,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
2,2024-08-07 21:50:55.915328+00,Adivinanzas,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
3,2024-08-07 21:50:55.915328+00,Adopción,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
4,2024-08-07 21:50:55.915328+00,Ajedrez,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
5,2024-08-07 21:50:55.915328+00,Algarabía,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
6,2024-08-07 21:50:55.915328+00,Algarabía niños,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
7,2024-08-07 21:50:55.915328+00,Animales,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
80,2024-08-07 21:50:55.915328+00,Plantas,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
81,2024-08-07 21:50:55.915328+00,Poesía,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
82,2024-08-07 21:50:55.915328+00,Poesía infantil,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
83,2024-08-07 21:50:55.915328+00,Prehispánico,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
84,2024-08-07 21:50:55.915328+00,Recetas,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
85,2024-08-07 21:50:55.915328+00,Relaciones,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
86,2024-08-07 21:50:55.915328+00,Religión,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
87,2024-08-07 21:50:55.915328+00,Revista,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
88,2024-08-07 21:50:55.915328+00,Revista niños,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
89,2024-08-07 21:50:55.915328+00,Salud,2,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
90,2024-08-07 21:50:55.915328+00,Superheroes,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
91,2024-08-07 21:50:55.915328+00,Teatro,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
92,2024-08-07 21:50:55.915328+00,Terror,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
93,2024-08-07 21:50:55.915328+00,Thriller,1,,0,https://images.pexels.com/photos/373465/pexels-photo-373465.jpeg?auto=compress&cs=tinysrgb&w=1440&h=80&dpr=1
